Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Petroff R.L., Cavalcante R.G., Langen E.S., Dolinoy D.C., Padmanabhan V., Goodrich J.M.","57195575027;56355138100;8611236300;6507741630;7102543982;37021342700;","Mediation effects of DNA methylation and hydroxymethylation on birth outcomes after prenatal per- and polyfluoroalkyl substances (PFAS) exposure in the Michigan mother–infant Pairs cohort",2023,"Clinical Epigenetics","15","1","49","","",,,"10.1186/s13148-023-01461-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150965292&doi=10.1186%2fs13148-023-01461-5&partnerID=40&md5=a3e78e55939177f3867f5781791e31a5","Department of Environmental Health Sciences, School of Public Health, University of Michigan, 1415 Washington Heights, Ann Arbor, MI  48109, United States; Epigenomics Core, Biomedical Research Core Facilities, University of Michigan Medical School, Ann Arbor, MI, United States; Department of Obstetrics and Gynecology, University of Michigan Medical School, Ann Arbor, MI, United States; Department of Nutritional Sciences, School of Public Health, University of Michigan, Ann Arbor, MI, United States; Department of Pediatrics Medical School, University of Michigan, Ann Arbor, MI, United States","Petroff, R.L., Department of Environmental Health Sciences, School of Public Health, University of Michigan, 1415 Washington Heights, Ann Arbor, MI  48109, United States; Cavalcante, R.G., Epigenomics Core, Biomedical Research Core Facilities, University of Michigan Medical School, Ann Arbor, MI, United States; Langen, E.S., Department of Obstetrics and Gynecology, University of Michigan Medical School, Ann Arbor, MI, United States; Dolinoy, D.C., Department of Environmental Health Sciences, School of Public Health, University of Michigan, 1415 Washington Heights, Ann Arbor, MI  48109, United States, Epigenomics Core, Biomedical Research Core Facilities, University of Michigan Medical School, Ann Arbor, MI, United States, Department of Nutritional Sciences, School of Public Health, University of Michigan, Ann Arbor, MI, United States; Padmanabhan, V., Department of Environmental Health Sciences, School of Public Health, University of Michigan, 1415 Washington Heights, Ann Arbor, MI  48109, United States, Department of Obstetrics and Gynecology, University of Michigan Medical School, Ann Arbor, MI, United States, Department of Pediatrics Medical School, University of Michigan, Ann Arbor, MI, United States; Goodrich, J.M., Department of Environmental Health Sciences, School of Public Health, University of Michigan, 1415 Washington Heights, Ann Arbor, MI  48109, United States","Background: Per- and polyfluoroalkyl substances (PFAS) are chemicals that are resistant to degradation and ubiquitous in our environments. PFAS may impact the developing epigenome, but current human evidence is limited to assessments of total DNA methylation. We assessed associations between first trimester PFAS exposures with newborn DNA methylation, including 5-methylcytosine (5-mC) and 5-hydroxymethylcytosine (5-hmC). DNA methylation mediation of associations between PFAS and birth outcomes were explored in the Michigan Mother Infant Pairs cohort. Nine PFAS were measured in maternal first trimester blood. Seven were highly detected and included for analysis: PFHxS, PFOA, PFOS, PFNA, PFDA, PFUnDA, and MeFOSAA. Bisulfite-converted cord blood DNA (n = 141) and oxidative-bisulfite-converted cord blood (n = 70) were assayed on Illumina MethylationEPIC BeadChips to measure total DNA methylation (5-mC + 5-hmC) and 5-mC/5-hmC. Correcting for multiple comparisons, beta regressions were used to assess associations between levels of PFAS and total methylation, 5-mC, or 5-hmC. Nonlinear mediation analyses were used to assess the epigenetic meditation effect between PFAS and birth outcomes. Results: PFAS was significantly associated with total methylation (q < 0.05: PFHxS—12 sites; PFOS—19 sites; PFOA—2 sites; PFNA—3 sites; PFDA—4 sites). In 72 female infants and 69 male infants, there were sex-specific associations between five PFAS and DNA methylation. 5-mC and 5-hmC were each significantly associated with thousands of sites for PFHxS, PFOS, PFNA, PFDA, PFUnDA, and MeFOSAA (q < 0.05). Clusters of 5-mC and 5-hmC sites were significant mediators between PFNA and PFUnDA and decreased gestational age (q < 0.05). Conclusions: This study demonstrates the mediation role of specific types of DNA methylation on the relationship between PFAS exposure and birth outcomes. These results suggest that 5-mC and 5-hmC may be more sensitive to the developmental impacts of PFAS than total DNA methylation. © 2023, The Author(s).","Children’s health; Developmental origins of health and disease; DNA methylation; Epigenomics; Hydroxymethylation; Per- and polyfluoroalkyl substances; Prenatal exposures; Preterm birth","fluorocarbon; hydrogen sulfite; perfluoroundecanoic acid; DNA methylation; female; human; infant; male; Michigan; mother; newborn; pollutant; pregnancy; DNA Methylation; Environmental Pollutants; Female; Fluorocarbons; Humans; Infant; Infant, Newborn; Male; Michigan; Mothers; Pregnancy",Article,"Final","",Scopus,2-s2.0-85150965292
"Zisopoulou T., Varvogli L.","58123768300;17836888600;","Stress Management Methods in Children and Adolescents: Past, Present, and Future",2023,"Hormone Research in Paediatrics","96","1",,"97","107",,,"10.1159/000526946","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149179052&doi=10.1159%2f000526946&partnerID=40&md5=bb5351fa1a5cacf7f8c2ec4ee7c4fcad","Stress Science and Health Promotion Post Graduate Program, National and Kapodestrian University of Athens Medical School, Athens, Greece","Zisopoulou, T., Stress Science and Health Promotion Post Graduate Program, National and Kapodestrian University of Athens Medical School, Athens, Greece; Varvogli, L., Stress Science and Health Promotion Post Graduate Program, National and Kapodestrian University of Athens Medical School, Athens, Greece","Background: Stress is a natural automatic reaction of organisms to challenging or threatening stimuli. Prevalence rates reveal an increasing number of students both in elementary and secondary education suffering from anxiety and other stress-related disorders and illnesses [The Journal of Pediatrics. 2009 Mar;154(3):322-6]. Literature shows a plethora of stress management techniques being used with children and adults to achieve stress reduction and inner peace. This narrative review primarily aimed at summarizing evidence-based relaxation techniques currently used by minors, contrasting them with data from the past and directions for the future. ∗(Additional content can be found at the bottom page of this review). Summary: Literature research revealed a plethora of stress management techniques, including breathing practices or exercises, meditation, guided imagery, clinical hypnosis, cognitive behavioral therapy, behavioral therapy, third wave therapies, interpersonal therapies, progressive muscle relaxation, autogenic training, biofeedback training, and mindfulness, that are deemed to be effective to treat stress and a variety of stress-related disorders such as anxiety disorders, depression, post-traumatic stress disorder, obsessive-compulsive disorder (OCD), headaches, abdominal pain, perioperative anxiety and postoperative pain, cancer, and attention-deficit hyperactivity disorder. These evidence-based stress management techniques have been successfully employed in various settings such as schools, waiting rooms, dental offices, or inpatient settings. Key Messages: Stress management techniques used by children and adolescents are important to reduce anxiety, stress, and depressive symptoms, improve social skills, reduce stress-related physical pain, and achieve academic improvement across settings and diagnoses. © 2022 World Scientific Publishing Company.","Relaxation techniques; Stress management; Stress management techniques; Stress reduction","abdominal pain; anesthesia induction; anxiety disorder; attention deficit hyperactivity disorder; auditory stimulation; autogenic training; biofeedback; breathing exercise; breathing rate; child; cognitive behavioral therapy; Crohn disease; dental procedure; depression; distress syndrome; emotion regulation; exercise; headache; heart rate; human; hypnosis; insomnia; irritable colon; local anesthesia; meditation; migraine; mindfulness; muscle relaxation; nausea; nightmare; obsessive compulsive disorder; parasympathetic tone; physical well-being; postoperative pain; posttraumatic stress disorder; prevalence; psychoanalysis; psychodynamic psychotherapy; quality of life; Review; rheumatoid arthritis; self esteem; social competence; stress management; systematic review; vagus tone; visual stimulation; adolescent; adult; anxiety; anxiety disorder; cognitive behavioral therapy; procedures; Adolescent; Adult; Anxiety; Anxiety Disorders; Child; Cognitive Behavioral Therapy; Humans",Review,"Final","",Scopus,2-s2.0-85149179052
"Behera P., Satpathy I., Patnaik B.C.M.","57605391000;56381528100;56381086800;","Assessing Mental Health of Women Working as Front-Line Health Workers in Self-Help Groups in Odisha during COVID-19 Outbreak",2023,"Journal of Medicinal and Chemical Sciences","6","3",,"506","514",,,"10.26655/JMCHEMSCI.2023.3.7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141990090&doi=10.26655%2fJMCHEMSCI.2023.3.7&partnerID=40&md5=667a3640b7e070cf377663f184319843","School of Management, KIIT University, Bhubaneswar, India","Behera, P., School of Management, KIIT University, Bhubaneswar, India; Satpathy, I., School of Management, KIIT University, Bhubaneswar, India; Patnaik, B.C.M., School of Management, KIIT University, Bhubaneswar, India","COVID-19 pandemic has taken a toll on the mental condition of the people globally and the more affected are women as compared to men. Women engaged in self-help groups also suffering from mental health disorders during COVID-19 pandemic. The current study aimed to understand how mental health has affected the SHGs women during COVID-19 and violence of women in the domestic field due to the impact of COVID-19. The current study designed a questionnaire by using the Patient Health Questionnaire (PHQ-9) and the General Anxiety Disorder (GAD-7) and data was collected from 218 respondents and descriptive analysis was conducted by using SPSS-20. The findings revealed that the maximum number of women in self-help groups suffered with mild anxiety and 15% suffered with severe anxiety disorder. The maximum number of women follows meditation followed by indoor games and yoga to cope up with anxiety. Hence, women working in self-help groups need to take preventive actions like yoga and other therapies to avoid anxiety and stress which help them to engage and be productive in their professional job during COVID-19 pandemic. © 2023 by SPC (Sami Publishing Company)","Anxiety; COVID-19 Pandemic; Depression; Mental Health; SHGs Women Workers; Stress",,Article,"Final","",Scopus,2-s2.0-85141990090
"Mohan U.P., Kunjiappan S., Tirupathi Pichiah P.B., Babkiewicz E., Maszczyk P., Arunachalam S.","57209475753;56183392800;45662057200;57195962751;15750883700;35209520500;","Exploring the Role of Melatonin in Meditation on Cardiovascular Health",2023,"Biointerface Research in Applied Chemistry","13","1","64","","",,,"10.33263/BRIAC131.064","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127665246&doi=10.33263%2fBRIAC131.064&partnerID=40&md5=0df1dc3be020aaa82d8ec28a25b67415","Center for Cardiovascular and Adverse Drug Reactions, Department of Biotechnology, School of Bio and Chemical Engineering, Kalasalingam Academy of Research and Education, Virudhunagar Dt., Tamilnadu, Krishnankoil, 626126, India; Department of Biotechnology, School of Bio and Chemical Engineering, Kalasalingam Academy of Research and Education, Virudhunagar Dt., Tamilnadu, Krishnankoil, 626126, India; Department of Animal Science, School of Life Sciences, Bharathidasan University, Tamil Nadu, Tiruchirappalli, 620024, India; Department of Hydrobiology, Faculty of Biology, University of Warsaw at Biology & Chemistry Research Center, Warsaw, 02-189, Poland","Mohan, U.P., Center for Cardiovascular and Adverse Drug Reactions, Department of Biotechnology, School of Bio and Chemical Engineering, Kalasalingam Academy of Research and Education, Virudhunagar Dt., Tamilnadu, Krishnankoil, 626126, India; Kunjiappan, S., Department of Biotechnology, School of Bio and Chemical Engineering, Kalasalingam Academy of Research and Education, Virudhunagar Dt., Tamilnadu, Krishnankoil, 626126, India; Tirupathi Pichiah, P.B., Department of Animal Science, School of Life Sciences, Bharathidasan University, Tamil Nadu, Tiruchirappalli, 620024, India; Babkiewicz, E., Department of Hydrobiology, Faculty of Biology, University of Warsaw at Biology & Chemistry Research Center, Warsaw, 02-189, Poland; Maszczyk, P., Department of Hydrobiology, Faculty of Biology, University of Warsaw at Biology & Chemistry Research Center, Warsaw, 02-189, Poland; Arunachalam, S., Center for Cardiovascular and Adverse Drug Reactions, Department of Biotechnology, School of Bio and Chemical Engineering, Kalasalingam Academy of Research and Education, Virudhunagar Dt., Tamilnadu, Krishnankoil, 626126, India","Cardiovascular diseases are the leading cause of disease burden globally. Sleep and cardiovascular connection represent a two-way lane. Recently, many reports have suggested that meditation practices have a beneficial effect on cardiovascular diseases. But the exact mechanism was not known. Several reports suggest that meditation induces the secretion of melatonin. The rhythm of melatonin follows a sleep pattern. Thus, the present hypothesis correlates the plausible mechanisms involved in meditation with enhancing cardiac health through melatonin synthesis. An altered modern lifestyle decreases the level of melatonin which disrupts the circadian rhythm, and subsequently, there is a high incidence of cardiovascular diseases. The disrupted cardiac energy metabolism is distorted due to altered circadian rhythm with elevated ROS. The increased level of ROS activates the inflammatory mediators' cytokines and damages the DNA, resulting in altered cardiac physiology. Melatonin regulates the circadian rhythm and acts as a silent regulator for the cardiac energy balance. Melatonin is the central player of circadian rhythm, and it protects cardiomyocytes by acting as an antioxidant, anti-inflammatory mediator, and repairing DNA damage. Meditation induces melatonin and improves cardiac health through the aforementioned mechanisms. © 2022 by the authors.","cardiovascular diseases; circadian rhythm; DNA repair; Glucose; lipid metabolism; meditation; melatonin; ROS",,Review,"Final","",Scopus,2-s2.0-85127665246
"Yackle K.","14626832400;","Transformation of Our Understanding of Breathing Control by Molecular Tools",2023,"Annual Review of Physiology","85",,,"93","113",,,"10.1146/annurev-physiol-021522-094142","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147892977&doi=10.1146%2fannurev-physiol-021522-094142&partnerID=40&md5=ffb32b7e2c452ca7b5dc26e53042a37b","Department of Physiology, University of California, San Francisco, CA, United States","Yackle, K., Department of Physiology, University of California, San Francisco, CA, United States","The rhythmicity of breath is vital for normal physiology. Even so, breathing is enriched with multifunctionality. External signals constantly change breathing, stopping it when under water or deepening it during exertion. Internal cues utilize breath to express emotions such as sighs of frustration and yawns of boredom. Breathing harmonizes with other actions that use our mouth and throat, including speech, chewing, and swallowing. In addition, our perception of breathing intensity can dictate how we feel, such as during the slow breathing of calming meditation and anxiety-inducing hyperventilation. Heartbeat originates from a peripheral pacemaker in the heart, but the automation of breathing arises from neural clusters within the brainstem, enabling interaction with other brain areas and thus multifunctionality. Here, we document how the recent transformation of cellular and molecular tools has contributed to our appreciation of the diversity of neuronal types in the breathing control circuit and how they confer the multifunctionality of breathing. Copyright © 2023 by the author(s).","breathing control; Hering-Breuer; lung sensory; NTS; nucleus tractus solitarius; preBötC; serotonin","breathing; human; nerve cell; physiology; Humans; Neurons; Respiration",Review,"Final","",Scopus,2-s2.0-85147892977
"Dong L., Ji T., Zhang J.","57215832368;57964734900;56034001600;","Motivational Understanding of MOOC Learning: The Impacts of Technology Fit and Subjective Norms",2023,"Behavioral Sciences","13","2","98","","",,,"10.3390/bs13020098","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148872547&doi=10.3390%2fbs13020098&partnerID=40&md5=f21346898a5fe715d137afc523204391","Alibaba Business College, Hangzhou Normal University, Hangzhou, 311121, China; School of Management, Zhejiang University, Hangzhou, 310058, China; School of Business, Hangzhou City University, Hangzhou, 310015, China","Dong, L., Alibaba Business College, Hangzhou Normal University, Hangzhou, 311121, China; Ji, T., School of Management, Zhejiang University, Hangzhou, 310058, China; Zhang, J., School of Business, Hangzhou City University, Hangzhou, 310015, China","This study examines the mechanisms underlying the relationship between motivation and massive open online course (MOOC) learning intention, and the contextual moderators that affect this mechanism. Drawing on motivational theory and the related literature, this study investigates how motivation affects students’ intention to learn with MOOCs and the related meditation and moderation effects. The findings of our study show that both extrinsic and intrinsic motivations have a significant influence on intention to learn with MOOCs. In addition, the results also suggest that the relationship between extrinsic motivation and intention to learn is mediated by the technology fit perceived by learners but not the relationship between intrinsic motivation and intention to learn. Furthermore, the relationships between both extrinsic and intrinsic motivation and intention to learn are moderated by subjective norms. This study enriches the extant literature on the impact of technology fit and subjective norms on MOOC learning. Few studies have focused on how students can be effectively encouraged to take MOOCs. Given the lack of theoretical and empirical research, this study developed a theoretical model and conducted an empirical study to fill the research gap. © 2023 by the authors.","extrinsic motivation; intrinsic motivation; MOOCs; subjective norm; technology fit",,Article,"Final","",Scopus,2-s2.0-85148872547
"Davis J.J.J., Kozma R., Schübeler F.","57220704538;7004822939;57221337844;","Analysis of Meditation vs. Sensory Engaged Brain States Using Shannon Entropy and Pearson’s First Skewness Coefficient Extracted from EEG Data",2023,"Sensors","23","3","1293","","",,,"10.3390/s23031293","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147895168&doi=10.3390%2fs23031293&partnerID=40&md5=568d80d6f45abfd25feb798c8f3c4552","Department of Physics, Dodd-Walls Centre for Photonics and Quantum Technologies, University of Auckland, Auckland, 1142, New Zealand; Department of Mathematics, University of Memphis, Memphis, TN  38152, United States; Kozmos Research Laboratories, Boston, MA  02215, United States; School of Informatics, Obuda University, Budapest, H-1034, Hungary; The Embassy of Peace, Whitianga, Coromandel, 3591, New Zealand","Davis, J.J.J., Department of Physics, Dodd-Walls Centre for Photonics and Quantum Technologies, University of Auckland, Auckland, 1142, New Zealand; Kozma, R., Department of Mathematics, University of Memphis, Memphis, TN  38152, United States, Kozmos Research Laboratories, Boston, MA  02215, United States, School of Informatics, Obuda University, Budapest, H-1034, Hungary; Schübeler, F., The Embassy of Peace, Whitianga, Coromandel, 3591, New Zealand","It has been proposed that meditative states show different brain dynamics than other more engaged states. It is known that when people sit with closed eyes instead of open eyes, they have different brain dynamics, which may be associated with a combination of deprived sensory input and more relaxed inner psychophysiological and cognitive states. Here, we study such states based on a previously established experimental methodology, with the aid of an electro-encephalography (EEG) array with 128 electrodes. We derived the Shannon Entropy (H) and Pearson’s 1st Skewness Coefficient (PSk) from the power spectrum for the modalities of meditation and video watching, including 20 participants, 11 meditators and 9 non-meditators. The discriminating performance of the indices H and PSk was evaluated using Student’s t-test. The results demonstrate a statistically significant difference between the mean H and PSk values during meditation and video watch modes. We show that the H index is useful to discriminate between Meditator and Non-Meditator participants during meditation over both the prefrontal and occipital areas, while the PSk index is useful to discriminate Meditators from Non-Meditators based on the prefrontal areas for both meditation and video modes. Moreover, we observe episodes of anti-correlation between the prefrontal and occipital areas during meditation, while there is no evidence for such anticorrelation periods during video watching. We outline directions of future studies incorporating further statistical indices for the characterization of brain states. © 2023 by the authors.","awareness; cognition; discrimination; EEG; emotion; intentionality; meditation; Shannon entropy; skewness; spiritual values","Phase shift keying; Sensory analysis; Awareness; Cognition; Discrimination; Electro-encephalography; Emotion; Intentionality; Meditation; Shannon's entropy; Skewness; Spiritual value; Higher order statistics; brain; brain mapping; electroencephalography; human; meditation; physiology; psychophysiology; Brain; Brain Mapping; Electroencephalography; Humans; Meditation; Psychophysiology",Article,"Final","",Scopus,2-s2.0-85147895168
"Kaya E., Solak Y., Şahin M., Kurt B., Vural Solak G.T., Üçer H.","57224859180;57788820200;57212306048;58000598400;57427336600;56613470800;","Is YouTube useful as a source of information for approaches to reducing blood pressure and hypertension treatment?",2023,"Hypertension Research","46","2",,"386","394",,,"10.1038/s41440-022-01112-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143822773&doi=10.1038%2fs41440-022-01112-x&partnerID=40&md5=17472b6f9de1f36eb399bfcea2eefe80","Department of Public Health, Kahramanmaras Sutcu Imam University Faculty of Medicine, Kahramanmaras, Turkey; Department of Public Health, Keçiören District Health Directorate, Ankara, Turkey; Department of Public Health, Public Health Directorate of Adana, Adana, Turkey; Republic of Turkiye Ministry of Health, General Directorate of Public Health, Ankara, Turkey; Division of Immunology and Allergy, University of Health Sciences, Ankara Atatürk Sanatory Education and Research Hospital, Ankara, Turkey; Department of Family Medicine, Public Health Directorate of Kahramanmaraş, Kahramanmaraş, Turkey","Kaya, E., Department of Public Health, Kahramanmaras Sutcu Imam University Faculty of Medicine, Kahramanmaras, Turkey; Solak, Y., Department of Public Health, Keçiören District Health Directorate, Ankara, Turkey; Şahin, M., Department of Public Health, Public Health Directorate of Adana, Adana, Turkey; Kurt, B., Republic of Turkiye Ministry of Health, General Directorate of Public Health, Ankara, Turkey; Vural Solak, G.T., Division of Immunology and Allergy, University of Health Sciences, Ankara Atatürk Sanatory Education and Research Hospital, Ankara, Turkey; Üçer, H., Department of Family Medicine, Public Health Directorate of Kahramanmaraş, Kahramanmaraş, Turkey","Hypertension is an important public health problem due to its high prevalence and common complications. The aim of this study was to evaluate the quality of videos on YouTube related to reducing blood pressure and hypertension treatment. Using the six search terms “hypertension treatment”, “cure hypertension”, “hypertension medication”, “control high blood pressure”, “lower high blood pressure”, and “reduce high blood pressure”, a total of 360 relevant videos on YouTube were evaluated. Some parameters, i.e., the length of the video, number of days on YouTube, number of view counts, and number of likes, dislikes, and comments, were noted for all videos. The Global Quality Scale (GQS) was used to evaluate the quality of the videos. We categorized the video content as useful or misleading using the evidence-based medical literature. After exclusions, 104 videos were evaluated by two independent reviewers. Out of all the videos, 51% were useful, and 49% were misleading. Videos mentioned lifestyle changes (LCs) more (65 videos, 62.5%), and only 39.4% (41 videos) of all the videos contained information about pharmacological treatment (PT). Videos about alternative treatment (AT) had high numbers of views, and videos about PT had low numbers of views, and this difference was statistically significant. Videos that did not include PT but did include LCs and AT had more likes, similar to the number of views. YouTube, which is an important source of information, can guide individuals to in reducing high blood pressure with nonpharmacological and pharmacological methods. [Figure not available: see fulltext.] © 2022, The Author(s), under exclusive licence to The Japanese Society of Hypertension.","Access to information; Highblood pressure; Hypertension; Internet; Therapeutics","calcium; fish oil; magnesium; potassium; access to information; alcohol consumption; alternative medicine; Article; audio quality; behavior therapy; blood pressure; blood pressure regulation; chocolate; coffee; Cohen kappa score; DASH diet; descriptive research; diet supplementation; drug therapy; evidence based practice; garlic; Global Quality Scale; health survey; human; hypertension; information source; internet use; lifestyle modification; medical literature; Mediterranean diet; parameters; physical activity; practice guideline; quality control; reliability; scoring system; search engine; social media; sodium reduction; tea; transcendental meditation; video parameters; video quality; videorecording; yoga; blood pressure; hypertension; hypotension; United States; Blood Pressure; Humans; Hypertension; Hypotension; Information Sources; Social Media; United States; Video Recording",Article,"Final","",Scopus,2-s2.0-85143822773
"Natarajan A.","57219797067;","Heart rate variability during mindful breathing meditation",2023,"Frontiers in Physiology","13",,"1017350","","",,,"10.3389/fphys.2022.1017350","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147427680&doi=10.3389%2ffphys.2022.1017350&partnerID=40&md5=e5a756817b5bcbe6e9fc2f39f0972fbe","Google LLC, San Francisco, CA, United States","Natarajan, A., Google LLC, San Francisco, CA, United States","We discuss Heart Rate Variability (HRV) measured during mindful breathing meditation. We provide a pedagogical computation of two commonly used heart rate variability metrics, i.e. the root mean square of successive differences (RMSSD) and the standard deviation of RR intervals (SDRR), in terms of Fourier components. It is shown that the root mean square of successive differences preferentially weights higher frequency Fourier modes, making it unsuitable as a biosignal for mindful breathing meditation which encourages slow breathing. We propose a new metric called the autonomic balance index (ABI) which uses Respiratory Sinus Arrhythmia to quantify the fraction of heart rate variability contributed by the parasympathetic nervous system. We apply this metric to heart rate variability data collected during two different meditation techniques, and show that the autonomic balance index is significantly elevated during mindful breathing, making it a good signal for biofeedback during meditation sessions. Copyright © 2023 Natarajan.","biofeedback; heart rate variability; meditation; mindfulness; physiology Frontiers","ankle brachial index; article; biofeedback; breathing; cholinergic system; controlled study; heart rate variability; human; meditation; mindfulness; respiratory sinus arrhythmia; RR interval",Article,"Final","",Scopus,2-s2.0-85147427680
"Balban M.Y., Neri E., Kogon M.M., Weed L., Nouriani B., Jo B., Holl G., Zeitzer J.M., Spiegel D., Huberman A.D.","58065046300;58065593000;6603071669;58029988400;6506292384;58003741700;58065179300;6602853952;7102138183;8647030200;","Brief structured respiration practices enhance mood and reduce physiological arousal",2023,"Cell Reports Medicine","4","1","100895","","",,2,"10.1016/j.xcrm.2022.100895","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146262473&doi=10.1016%2fj.xcrm.2022.100895&partnerID=40&md5=565e77f3100cb296185947b31d4f289f","Department of Neurobiology, School of Medicine, Stanford University, Stanford, CA  94305, United States; Department of Psychiatry & Behavioral Sciences, School of Medicine, Stanford University, Stanford, CA  94305, United States; Stanford Center for Integrative Medicine, Stanford Health Care, Palo Alto, CA  94304, United States; Department of Bioengineering, School of Engineering and School of Medicine, Stanford University, Stanford, CA  94305, United States; Mental Illness Research Education and Clinical Center, VA Palo Alto Health Care Service, Palo Alto, CA  94304, United States; Center for Stress and Health, School of Medicine, Stanford University, Stanford, CA  94305, United States; Department of Ophthalmology, School of Medicine, Stanford University, Stanford, CA  94305, United States; BioX, School of Medicine, Stanford University, Stanford, CA  94305, United States","Balban, M.Y., Department of Neurobiology, School of Medicine, Stanford University, Stanford, CA  94305, United States; Neri, E., Department of Psychiatry & Behavioral Sciences, School of Medicine, Stanford University, Stanford, CA  94305, United States; Kogon, M.M., Department of Psychiatry & Behavioral Sciences, School of Medicine, Stanford University, Stanford, CA  94305, United States, Stanford Center for Integrative Medicine, Stanford Health Care, Palo Alto, CA  94304, United States; Weed, L., Department of Bioengineering, School of Engineering and School of Medicine, Stanford University, Stanford, CA  94305, United States; Nouriani, B., Department of Psychiatry & Behavioral Sciences, School of Medicine, Stanford University, Stanford, CA  94305, United States; Jo, B., Department of Psychiatry & Behavioral Sciences, School of Medicine, Stanford University, Stanford, CA  94305, United States; Holl, G., Department of Neurobiology, School of Medicine, Stanford University, Stanford, CA  94305, United States; Zeitzer, J.M., Department of Psychiatry & Behavioral Sciences, School of Medicine, Stanford University, Stanford, CA  94305, United States, Mental Illness Research Education and Clinical Center, VA Palo Alto Health Care Service, Palo Alto, CA  94304, United States; Spiegel, D., Department of Psychiatry & Behavioral Sciences, School of Medicine, Stanford University, Stanford, CA  94305, United States, Center for Stress and Health, School of Medicine, Stanford University, Stanford, CA  94305, United States; Huberman, A.D., Department of Neurobiology, School of Medicine, Stanford University, Stanford, CA  94305, United States, Department of Ophthalmology, School of Medicine, Stanford University, Stanford, CA  94305, United States, BioX, School of Medicine, Stanford University, Stanford, CA  94305, United States","Controlled breathwork practices have emerged as potential tools for stress management and well-being. Here, we report a remote, randomized, controlled study (NCT05304000) of three different daily 5-min breathwork exercises compared with an equivalent period of mindfulness meditation over 1 month. The breathing conditions are (1) cyclic sighing, which emphasizes prolonged exhalations; (2) box breathing, which is equal duration of inhalations, breath retentions, and exhalations; and (3) cyclic hyperventilation with retention, with longer inhalations and shorter exhalations. The primary endpoints are improvement in mood and anxiety as well as reduced physiological arousal (respiratory rate, heart rate, and heart rate variability). Using a mixed-effects model, we show that breathwork, especially the exhale-focused cyclic sighing, produces greater improvement in mood (p < 0.05) and reduction in respiratory rate (p < 0.05) compared with mindfulness meditation. Daily 5-min cyclic sighing has promise as an effective stress management exercise. © 2022 The Authors","anxiety; autonomic; breathwork; heart rate variability; limbic; mindfulness meditation; mood; physiology; sleep; stress; wearable","adult; anxiety; arousal; Article; box breathing; breath retention; breathing exercise; breathing rate; breathing reflex; breathwork; comparative study; controlled study; cyclic hyperventilation; cyclic retention; cyclic sighing; exhalation; female; heart rate variability; human; inhalation; male; mindfulness meditation; mood; randomized controlled trial; retrospective study; stress management; therapy effect; young adult; affect; arousal; breathing; meditation; therapy; Affect; Anxiety; Arousal; Humans; Meditation; Respiration",Article,"Final","",Scopus,2-s2.0-85146262473
